Mese,Anno ,Incidenti,Morti,Feriti,Incidenti mortali,Percentuale incidenti,Percentuale incidenti mortali,Percentuale morti,Percentuale feriti,Indice di mortalità generico,Indice di gravità,Indice di lesività,Indice specifico di mortalità ,Indice specifico di incidentalità
     Gennaio,2001,19332,516,27874,470,"7,35","0,18","7,27","7,47","2,67","1,82","144,19","109,79","2,43"
     Febbraio,2001,17908,474,2524,428,"6,81","0,16","6,68","6,76","2,65","1,84","140,94","110,75","2,39"
     Marzo,2001,2092,551,2991,488,"7,95","0,19","7,76","8,01","2,63","1,81","142,97","112,91","2,33"
1° Trimestre,2001,5816,1541,83024,1386,"22,11","0,53","21,72","22,24","2,65","1,82","142,75","111,18","2,38"
     Aprile,2001,21264,521,30674,469,"8,08","0,18","7,34","8,22","2,45","1,67","144,25","111,09","2,21"
     Maggio,2001,23941,583,3363,533,"9,10","0,20","8,22","9,01","2,44","1,70","140,47","109,38","2,23"
     Giugno,2001,25393,642,35483,592,"9,65","0,23","9,05","9,51","2,53","1,78","139,74","108,45","2,33"
2° Trimestre,2001,70598,1746,99787,1594,"26,83","0,61","24,61","26,73","2,47","1,72","141,35","109,54","2,26"
     Luglio,2001,25523,720,36136,660,"9,70","0,25","10,15","9,68","2,82","1,95","141,58","109,09","2,59"
     Agosto,2001,20388,679,30027,608,"7,75","0,23","9,57","8,04","3,33","2,21","147,28","111,68","2,98"
     Settembre,2001,22216,637,31355,587,"8,44","0,22","8,98","8,40","2,87","1,99","141,14","108,52","2,64"
3° Trimestre,2001,68127,2036,97518,1855,"25,89","0,71","28,69","26,12","2,99","2,05","143,14","109,76","2,72"
     Ottobre,2001,23171,598,31925,542,"8,81","0,21","8,43","8,55","2,58","1,84","137,78","110,33","2,34"
     Novembre,2001,22596,560,31704,515,"8,59","0,20","7,89","8,49","2,48","1,74","140,31","108,74","2,28"
     Dicembre,2001,20448,615,29328,563,"7,77","0,21","8,67","7,86","3,01","2,05","143,43","109,24","2,75"
4° Trimestre,2001,66215,1773,92957,162,"25,17","0,62","24,99","24,90","2,68","1,87","140,39","109,44","2,45"
     Gennaio,2002,19653,498,28181,445,"7,40","0,17","7,13","7,45","2,53","1,74","143,39","111,91","2,26"
